Gene_acc,Gene_id,WT1,WT2,WT3,Minus1,Minus2,Minus3,Desc
76,Tb927.9.9100,302950.0,332120.0,318790.0,382910.0,407110.0,380130.0,"hypothetical protein, conserved"
77,Tb927.11.5530,20302.0,24483.0,23140.0,12173.0,12037.0,13530.0,"LSU ribosomal protein, mitochondrial, putative"
78,Tb927.7.3460,164590.0,184920.0,178960.0,84020.0,92946.0,85251.0,"LSU ribosomal protein, mitochondrial, putative"
79,Tb927.9.8290,66449.0,59215.0,58922.0,28189.0,26889.0,28889.0,mitochondrial ribosomal protein l30
80,Tb927.11.5500,216450.0,243150.0,237980.0,105040.0,104790.0,102090.0,"Mitochondrial SSU ribosomal protein, putative"
81,Tb927.5.3110,66030.0,85022.0,66337.0,37001.0,39596.0,37106.0,Mitochondrial ribosomal protein L49
82,Tb927.9.11660,16480.0,18370.0,17578.0,9659.2,9828.6,8910.1,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
83,Tb927.2.1890,179250.0,203900.0,180310.0,219190.0,221950.0,207810.0,E2-like ubiquitin-conjugation enzyme
84,Tb927.5.3090,202110.0,227740.0,205960.0,67633.0,76094.0,69295.0,"Mitochondrial ATP synthase subunit, putative"
85,Tb927.7.4700,15304.0,15857.0,17815.0,40851.0,42196.0,41211.0,"WD domain, G-beta repeat, putative"
86,Tb927.2.4890,162260.0,191560.0,171450.0,85671.0,87896.0,76590.0,mitochondrial ribosomal protein l11
87,Tb927.10.14860,178820.0,199540.0,194010.0,95087.0,100760.0,89607.0,NADH-ubiquinone oxidoreductase B14 subunit
88,Tb927.11.2235,27868.0,33376.0,31354.0,32650.0,33136.0,29088.0,hypothetical protein
89,Tb927.3.5610,221300.0,250180.0,232730.0,126450.0,131660.0,120890.0,Mitochondrial ribosomal protein L3
90,Tb927.9.15010,196770.0,224080.0,204400.0,96162.0,105890.0,94680.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
91,Tb927.5.3360,28099.0,32127.0,32841.0,15054.0,16122.0,15527.0,mitochondrial ribosomal protein L2
92,Tb927.6.610,74194.0,86131.0,80216.0,41421.0,40732.0,41044.0,kinetoplast ribosomal PPR-repeat containing protein 18
93,Tb927.10.11050,113420.0,125660.0,117280.0,58045.0,59860.0,61228.0,"LSU ribosomal protein, mitochondrial, putative"
94,Tb927.9.12850,12254.0,11631.0,10248.0,5550.6,6893.1,6943.4,Mitoribosomal LSU assembly factor 5
95,Tb927.11.9930,64818.0,71206.0,67020.0,28319.0,30156.0,29665.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
96,Tb927.5.2930,785210.0,888840.0,817590.0,318660.0,319300.0,321710.0,"Mitochondrial ATP synthase subunit, putative"
97,Tb927.10.520,476950.0,551970.0,489130.0,191830.0,194010.0,185490.0,"Mitochondrial ATP synthase subunit, putative"
98,Tb927.8.6090,47521.0,47732.0,48238.0,41091.0,44945.0,40652.0,"ubiquitin-protein ligase, putative"
99,Tb927.10.6370,217800.0,248440.0,216160.0,277310.0,289620.0,263310.0,"60S ribosomal proteins L37, putative"
100,Tb927.7.3430,121030.0,137130.0,128920.0,73080.0,75032.0,71120.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb927.11.10170,73947.0,87877.0,78373.0,43116.0,43194.0,44342.0,Mitochondrial ribosomal protein L20
102,Tb927.6.3140,70908.0,83711.0,78229.0,115550.0,116280.0,116740.0,Ubiquitin-like protein 11
103,Tb927.6.4930,8169.5,9467.7,8472.1,5011.0,4005.9,5223.5,"thiosulfate sulfurtransferase, mitochondrial, putative"
104,Tb927.2.4840,23631.0,27641.0,24734.0,29146.0,29965.0,28467.0,"Vitamin K epoxide reductase family, putative"
105,Tb927.11.16540,96139.0,113900.0,101360.0,108390.0,116160.0,103840.0,"Roadblock/LC7 domain containing protein, putative"
106,Tb927.4.930,47108.0,53464.0,49331.0,29145.0,27782.0,27357.0,Mitochondrial ribosomal protein L14
107,Tb927.6.1990,713740.0,825290.0,724480.0,883310.0,936680.0,837640.0,"hypothetical protein, conserved"
108,Tb927.3.1690,140290.0,164580.0,153980.0,68242.0,70617.0,70396.0,"Mitochondrial ATP synthase subunit, putative"
109,Tb927.7.7380,47703.0,53944.0,49653.0,62113.0,68643.0,62348.0,u6 snrna-associated sm-like protein lsm3
110,Tb927.8.1880,63267.0,76399.0,70703.0,44269.0,44509.0,48083.0,"LSU ribosomal protein, mitochondrial, putative"
111,Tb927.11.15440,110930.0,130460.0,121220.0,60609.0,61157.0,55809.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
112,Tb927.9.7200,31593.0,40453.0,34042.0,41450.0,44896.0,39374.0,"hypothetical protein, conserved"
113,Tb927.11.10950,54531.0,65336.0,58107.0,26613.0,30459.0,25901.0,"DnaJ domain containing protein, putative"
114,Tb927.10.7380,31325.0,35734.0,33157.0,19956.0,19938.0,19051.0,"LSU ribosomal protein, mitochondrial, putative"
115,Tb927.10.14760,263080.0,287320.0,253760.0,296310.0,308210.0,278660.0,"clathrin light chain, putative"
116,Tb927.7.4820,18315.0,20650.0,19777.0,23149.0,22731.0,22058.0,"Trm112p-like protein, putative"
117,Tb927.7.2660,61648.0,71666.0,66038.0,84047.0,86503.0,78570.0,"zinc finger protein family member, putative"
118,Tb927.11.5830,51752.0,57860.0,54759.0,62292.0,66030.0,64239.0,"YL1 nuclear protein, putative"
119,Tb927.10.810,133680.0,144760.0,138800.0,169500.0,168550.0,157950.0,"Pentatricopeptide repeat protein (PPR), putative"
120,Tb927.8.3300,52979.0,63219.0,57999.0,37094.0,39964.0,32024.0,Mitoribosomal LSU assembly factor 12
121,Tb927.10.12250,107350.0,115540.0,109760.0,59250.0,60119.0,65495.0,"hypothetical protein, conserved"
122,Tb927.6.1920,302930.0,345320.0,317550.0,303310.0,325160.0,284030.0,"hypothetical protein, conserved"
123,Tb927.11.15500,23551.0,24140.0,19488.0,11691.0,12581.0,11516.0,"LSU ribosomal protein, mitochondrial, putative"
124,Tb927.10.6090,200610.0,220200.0,202250.0,127790.0,144680.0,123160.0,"tRNA pseudouridine synthase A, putative"
125,Tb927.11.3705,19462.0,25252.0,20510.0,36234.0,25202.0,19509.0,"DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative"
126,Tb927.11.7130,102580.0,118370.0,113270.0,128250.0,135430.0,124690.0,"hypothetical protein, conserved"
127,Tb927.10.12220,44237.0,50120.0,42643.0,23961.0,23446.0,26283.0,"hypothetical protein, conserved"
128,Tb927.8.4920,12285.0,12950.0,13255.0,6265.3,7144.6,6404.4,"hypothetical protein, conserved"
129,Tb927.11.6250,217400.0,248380.0,231680.0,146660.0,153680.0,143130.0,"Mitochondrial ATP synthase subunit, putative"
130,Tb927.7.3910,39592.0,45201.0,41799.0,21055.0,22448.0,22825.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
131,Tb927.7.2490,23350.0,26446.0,27934.0,15368.0,13728.0,13419.0,kinetoplast ribosomal PPR-repeat containing protein 15
132,Tb927.11.5990,164250.0,210950.0,184710.0,107940.0,106590.0,97394.0,Mitoribosomal LSU assembly factor 4
133,Tb927.11.6520,16047.0,16669.0,15178.0,18765.0,19792.0,16490.0,"hypothetical protein, conserved"
134,Tb927.10.2800,58507.0,64144.0,59412.0,32105.0,32393.0,29911.0,mitochondrial ribosomal protein s6
135,Tb927.9.3350,63920.0,70664.0,68683.0,36291.0,37124.0,37360.0,"pseudouridylate synthase, putative"
136,Tb927.11.3780,1865.0,1242.9,1590.3,511.55,1226.7,1229.7,subtilisin peptidase
137,Tb427.BES122.9,51263.0,57535.0,49990.0,42482.0,42032.0,38753.0,none
138,Tb927.2.2410,27924.0,30718.0,28578.0,15921.0,17533.0,17629.0,"hypothetical protein, conserved"
139,Tb927.8.5280,75687.0,129050.0,85312.0,45070.0,47763.0,45502.0,mitochondrial ribosomal protein s34
140,Tb927.11.7680,34144.0,36371.0,33386.0,20784.0,20163.0,19585.0,"hypothetical protein, conserved"
141,Tb927.8.2530,30714.0,34015.0,32931.0,18311.0,17487.0,17800.0,"Cytochrome c oxidase copper chaperone, related"
142,Tb927.7.3960,74803.0,83759.0,78938.0,48518.0,50277.0,45815.0,Mitochondrial ribosomal protein L16
143,Tb927.9.15190,724150.0,922230.0,765190.0,887570.0,913770.0,732420.0,"ribosomal protein L15, putative"
144,Tb927.2.3920,19528.0,20590.0,20119.0,10653.0,12235.0,10655.0,"Complex 1 protein (LYR family), putative"
145,Tb927.5.2810,93506.0,107800.0,102710.0,55861.0,61602.0,58843.0,"hypothetical protein, conserved"
146,Tb927.6.4560,124240.0,141100.0,130130.0,82161.0,89652.0,75373.0,"Mitochondrial SSU ribosomal protein, putative"
147,Tb11.v5.0905,150720.0,163970.0,156680.0,144250.0,149940.0,135420.0,"hypothetical protein, conserved"
148,Tb927.11.11480,827150.0,944550.0,829910.0,935950.0,992000.0,883300.0,"Trichohyalin, putative"
149,Tb927.9.8000,481000.0,543520.0,497330.0,499700.0,509690.0,460500.0,"ubiquitin-protein ligase, putative"
150,Tb927.11.13007,1520300.0,1831200.0,1619100.0,1554500.0,1626900.0,1490600.0,ubiquitin-60S ribosomal protein L40
151,Tb927.9.7080,102630.0,119930.0,100920.0,147600.0,156640.0,138570.0,"hypothetical protein, conserved"
152,Tb927.9.11120,100720.0,114910.0,106780.0,60403.0,63803.0,57549.0,"Chromosome passenger complex (CPC) protein INCENP N terminal, putative"
153,Tb927.11.7430,103930.0,120620.0,107150.0,125780.0,130590.0,118740.0,"hypothetical protein, conserved"
154,Tb927.3.860,136360.0,149080.0,144660.0,145050.0,145630.0,141650.0,"Acyl carrier protein, mitochondrial"
155,Tb927.6.4510,113410.0,129990.0,116730.0,72330.0,83694.0,76122.0,"hypothetical protein, conserved"
156,Tb927.1.1200,138430.0,157180.0,150270.0,83129.0,90993.0,79670.0,Mitochondrial ribosomal protein S15
157,Tb927.8.5560,216120.0,248600.0,236240.0,147250.0,156880.0,140650.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
158,Tb927.10.2670,34624.0,34869.0,37827.0,38605.0,43064.0,39497.0,"hypothetical protein, conserved"
159,Tb927.6.2910,39682.0,43916.0,43386.0,45901.0,44769.0,42850.0,"RNA pseudouridylate synthase, putative"
160,Tb927.3.2390,72989.0,84726.0,76382.0,49017.0,53522.0,49355.0,"hypothetical protein, conserved"
161,Tb927.3.5240,103150.0,114350.0,105270.0,70570.0,75165.0,74686.0,kinetoplast ribosomal PPR-repeat containing protein 8
162,Tb927.10.11520,31811.0,35014.0,34894.0,45494.0,45853.0,39695.0,mitochondrial import inner membrane translocase subunit tim13
163,Tb927.10.13110,70728.0,86837.0,78613.0,85228.0,94566.0,81761.0,Outer arm dynein light chain 7
164,Tb927.7.7480,1586.2,2285.4,2127.1,2176.3,1614.0,2024.3,"trans-sialidase, putative"
165,Tb927.9.5300,104870.0,114310.0,104150.0,71319.0,76475.0,65110.0,kinetoplast ribosomal PPR-repeat containing protein 16
166,Tb927.9.9780,845160.0,891730.0,847120.0,965590.0,969260.0,928960.0,"peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative"
167,Tb927.5.370,57470.0,67620.0,63436.0,116780.0,118750.0,113270.0,"75 kDa invariant surface glycoprotein, putative"
168,Tb927.8.1340,1357900.0,1537100.0,1382500.0,1526400.0,1568100.0,1453000.0,"60S ribosomal protein L7a, putative"
169,Tb927.5.2940,2570600.0,2852100.0,2573700.0,3159100.0,3293700.0,3064700.0,"stress-induced protein sti1, putative"
170,Tb927.11.1270,340580.0,377630.0,357970.0,163350.0,171060.0,164130.0,"Mitochondrial ATP synthase subunit, putative"
171,Tb927.9.1530,46731.0,55498.0,53899.0,36433.0,35743.0,33439.0,"hypothetical protein, conserved"
172,Tb927.3.4950,114770.0,137460.0,125500.0,92262.0,93642.0,86076.0,"hypothetical protein, conserved"
173,Tb927.11.13940,22058.0,30392.0,23447.0,25838.0,30345.0,24220.0,"ubiquitin-conjugating enzyme E2, putative"
174,Tb927.10.2050,75099.0,87358.0,79554.0,53318.0,51551.0,49371.0,"hypothetical protein, conserved"
175,Tb927.10.9250,493590.0,545850.0,502070.0,566880.0,592250.0,550400.0,"adenylyl cyclase-associated protein, putative"
176,Tb927.5.3300,14443.0,19744.0,17671.0,10159.0,9878.0,7449.4,"hypothetical protein, conserved"
177,Tb927.4.4710,62634.0,68476.0,62013.0,71856.0,75209.0,69050.0,"hypothetical protein, conserved"
178,Tb927.10.13990,30360.0,34856.0,34204.0,27177.0,30914.0,27500.0,"Pentatricopeptide repeat protein (PPR), putative"
179,Tb927.11.715,495920.0,578840.0,507120.0,504670.0,548420.0,487310.0,"dynein light chain LC8, putative"
180,Tb927.1.1390,46534.0,58503.0,52322.0,27654.0,28699.0,25167.0,"hypothetical protein, conserved"
181,Tb927.10.15410,176130.0,202170.0,177730.0,148090.0,156750.0,139600.0,glycosomal malate dehydrogenase
182,Tb927.11.11470,80266.0,88308.0,86731.0,55148.0,52400.0,53721.0,kinetoplast ribosomal PPR-repeat containing protein 14
183,Tb927.11.4650,46181.0,48602.0,45706.0,29923.0,30231.0,30218.0,kinetoplast ribosomal PPR-repeat containing protein 13
184,Tb927.8.595,54678.0,64173.0,59439.0,63088.0,65005.0,57249.0,hypothetical protein
185,Tb927.7.4060,543720.0,609170.0,561910.0,768200.0,794380.0,736670.0,"cysteine peptidase, Clan CA, family C2, putative"
186,Tb927.3.4360,416230.0,485050.0,428830.0,463760.0,495560.0,451160.0,"40S ribosomal protein S15A, putative"
187,Tb927.1.2990,206020.0,235180.0,224290.0,143740.0,148250.0,144230.0,kinetoplast ribosomal PPR-repeat containing protein 2
188,Tb927.5.1790,47520.0,53832.0,52421.0,29222.0,28891.0,26551.0,"Mitochondrial SSU ribosomal protein, putative"
189,Tb927.9.9310,99844.0,106430.0,105300.0,58360.0,61015.0,57958.0,Mitoribosomal SSU assembly factor 3
190,Tb927.8.3110,70902.0,77308.0,77945.0,45360.0,45907.0,43039.0,Mitochondrial ribosomal protein S9
191,Tb927.9.9150,36340.0,40145.0,38187.0,23507.0,25213.0,26106.0,Mitoribosomal LSU assembly factor 13
192,Tb927.11.13570,218430.0,234090.0,241440.0,266760.0,251570.0,255270.0,"hypothetical protein, conserved"
193,Tb927.11.12930,56523.0,68765.0,62458.0,41582.0,46346.0,39094.0,Mitoribosomal LSU assembly factor 2
194,Tb927.5.3310,74993.0,92673.0,79577.0,110000.0,122780.0,103500.0,"hypothetical protein, conserved"
195,Tb927.5.1200,13933.0,14633.0,14296.0,25782.0,26968.0,25528.0,exosome complex component CSL4
196,Tb927.9.9260,51497.0,59851.0,59449.0,68831.0,71168.0,66578.0,"hypothetical protein, conserved"
197,Tb927.11.590,50980.0,59282.0,56039.0,39999.0,40130.0,40518.0,"hypothetical protein, conserved"
198,Tb927.10.12010,134860.0,213120.0,146480.0,162950.0,167730.0,162390.0,"hypothetical protein, conserved"
199,Tb927.6.2480,26999.0,30536.0,25157.0,16091.0,21193.0,18426.0,"chaperone protein DnaJ, putative"
200,Tb927.8.980,989820.0,1110500.0,987160.0,1152400.0,1195900.0,1085100.0,phosphoacetylglucosamine mutase
201,Tb927.10.7080,75742.0,84704.0,79622.0,46018.0,47890.0,44794.0,"ATP-dependent DEAD/H RNA helicase, putative"
202,Tb927.6.1630,72785.0,64320.0,59491.0,35477.0,36171.0,33321.0,"hypothetical protein, conserved"
203,Tb927.11.640,1128.9,1498.8,1301.1,984.3,760.25,1260.2,"Pentatricopeptide repeat protein (PPR), putative"
204,Tb927.10.6300,169310.0,197560.0,175960.0,106670.0,115070.0,109890.0,Mitochondrial ribosomal protein S5
205,Tb927.6.2700,100600.0,112730.0,98251.0,119540.0,125530.0,118950.0,small nuclear ribonucleoprotein Sm-E
206,Tb927.10.7910,103580.0,125570.0,109920.0,77905.0,82298.0,71001.0,"RNA editing complex protein, putative"
207,Tb927.10.9830,579010.0,644240.0,589650.0,327930.0,339110.0,327670.0,"Mitochondrial ATP synthase subunit, putative"
208,Tb927.5.4370,12311.0,12423.0,12617.0,8728.9,8129.8,9428.4,"hypothetical protein, conserved"
209,Tb927.11.7214,35620.0,40667.0,39652.0,26203.0,26973.0,26434.0,Mitoribosomal SSU assembly factor 13
210,Tb927.11.2220,106480.0,110650.0,96763.0,65825.0,72079.0,66589.0,Mitoribosomal SSU assembly factor 17
211,Tb927.4.970,32844.0,33805.0,33256.0,22629.0,22913.0,23297.0,"hypothetical protein, conserved"
212,Tb927.10.13540,103160.0,116130.0,102260.0,130960.0,136780.0,122390.0,"RNA-binding protein, putative"
213,Tb927.10.380,67093.0,80493.0,69633.0,45877.0,49985.0,45079.0,kinetoplast ribosomal PPR-repeat containing protein 5
214,Tb927.11.15030,207130.0,238950.0,216600.0,267320.0,279700.0,248840.0,small GTPase
215,Tb927.10.5030,320800.0,361090.0,334320.0,379040.0,397670.0,369730.0,"ubiquitin/ribosomal protein S27a, putative"
216,Tb927.5.3340,10028.0,8974.7,9334.9,10652.0,11097.0,10438.0,Mitochondrial import inner membrane translocase subunit 11
217,Tb927.10.6850,29795.0,32700.0,35467.0,16885.0,18095.0,17508.0,"Mitochondrial ribosomal protein S18, putative"
218,Tb927.6.2080,11805.0,11501.0,9409.9,5660.3,6653.3,8140.4,"Mitochondrial SSU ribosomal protein, putative"
219,Tb927.5.3640,90905.0,100170.0,92425.0,58944.0,66044.0,56882.0,"Mitochondrial SSU ribosomal protein, putative"
220,Tb927.4.680,22259.0,23945.0,20420.0,13889.0,16473.0,14586.0,"hypothetical protein, conserved"
221,Tb927.9.6510,133800.0,153980.0,139910.0,100680.0,107330.0,106190.0,"Mitochondrial SSU ribosomal protein, putative"
222,Tb927.9.7160,102740.0,119820.0,103790.0,109610.0,119140.0,105180.0,"hypothetical protein, conserved"
223,Tb927.6.590,50650.0,58692.0,55586.0,28084.0,29417.0,28226.0,"hypothetical protein, conserved"
224,Tb927.8.6760,1056600.0,1100200.0,1076900.0,1316900.0,1281600.0,1237900.0,"translationally-controlled tumor protein homolog, putative"
225,Tb927.11.7920,58015.0,62101.0,62945.0,43023.0,43622.0,41708.0,SUMO-interacting motif-containing protein
226,Tb927.10.5090,47570.0,55786.0,52253.0,40697.0,40777.0,41905.0,Enriched in surface-labeled proteome protein 18
