Gene_acc,Gene_id,Plus1,Plus2,Plus3,Minus1,Minus2,Minus3,Desc
42,Tb927.7.840,96006.0,98121.0,98494.0,36173.0,35579.0,33658.0,"Mitochondrial ATP synthase subunit, putative"
43,Tb927.10.600,168920.0,162840.0,164760.0,57914.0,63069.0,58050.0,Mitochondrial ribosomal protein L29
44,Tb927.4.4300,92186.0,92979.0,88899.0,33416.0,34213.0,32370.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
45,Tb927.5.4120,203060.0,199640.0,198060.0,71008.0,74199.0,73294.0,"LSU ribosomal protein, mitochondrial, putative"
46,Tb927.8.3170,92473.0,93946.0,93001.0,36408.0,36273.0,32627.0,kinetoplast ribosomal PPR-repeat containing protein 9
47,Tb927.5.770,2637.6,2551.3,3655.9,866.5,1150.9,1319.2,Mitoribosomal SSU assembly factor 8
48,Tb927.11.10080,80510.0,75977.0,80360.0,28953.0,30679.0,30695.0,"LSU ribosomal protein, mitochondrial, putative"
49,Tb927.9.5690,350180.0,351410.0,348960.0,436200.0,452230.0,402410.0,"60S acidic ribosomal protein, putative"
50,Tb927.9.3640,56097.0,61329.0,55729.0,22326.0,22310.0,21383.0,"LSU ribosomal protein, mitochondrial, putative"
51,Tb927.5.3980,316910.0,313190.0,299850.0,116350.0,124720.0,120580.0,mitochondrial ribosomal protein L15
52,Tb927.8.5900,68554.0,69133.0,69900.0,82711.0,90712.0,81745.0,"Sedlin, N-terminal conserved region, putative"
53,Tb927.10.5500,77514.0,77134.0,75892.0,28710.0,31054.0,29441.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
54,Tb927.7.7010,50294.0,53094.0,51681.0,18267.0,20844.0,21016.0,"LSU ribosomal protein, mitochondrial, putative"
55,Tb927.11.15480,749830.0,756270.0,745910.0,924690.0,948020.0,885080.0,"heat shock protein Hsp20, putative"
56,Tb927.5.3410,114380.0,113590.0,110660.0,43644.0,46289.0,41287.0,Mitochondrial ribosomal protein L9
57,Tb927.9.3290,53993.0,52120.0,46921.0,62493.0,66496.0,59490.0,"4F5 protein family, putative"
58,Tb927.3.1710,37732.0,36547.0,34440.0,14274.0,14737.0,13704.0,mitochondrial ribosomal protein l24
59,Tb927.6.4200,52771.0,51385.0,48481.0,20986.0,18658.0,20236.0,"LSU ribosomal protein, mitochondrial, putative"
60,Tb927.2.6220,82982.0,83081.0,84321.0,100860.0,104890.0,96225.0,"adenosine transporter 2, putative"
61,Tb927.8.5120,175670.0,162960.0,161370.0,202720.0,207140.0,192770.0,cytochrome c
62,Tb927.7.2380,159120.0,167470.0,178690.0,200970.0,207080.0,200750.0,"hypothetical protein, conserved"
63,Tb927.3.2880,187350.0,171990.0,170830.0,69752.0,73302.0,69733.0,"Mitochondrial ATP synthase subunit, putative"
64,Tb927.4.4600,157620.0,156500.0,154920.0,65740.0,67355.0,57045.0,mitochondrial ribosomal protein l43
65,Tb927.9.6710,119140.0,121120.0,112760.0,48333.0,49356.0,45499.0,"kynurenine 3-monooxygenase, putative"
66,Tb927.11.1630,110800.0,116420.0,109030.0,45854.0,48760.0,40897.0,"LSU ribosomal protein, mitochondrial, putative"
67,Tb927.2.5980,1370000.0,1349400.0,1347600.0,1634300.0,1701300.0,1564400.0,"chaperone protein ClpB1, putative"
68,Tb927.8.5860,109560.0,106320.0,106180.0,43056.0,44950.0,43100.0,mitochondrial ribosomal protein L17
69,Tb927.6.4040,105380.0,103490.0,99990.0,40604.0,42402.0,42774.0,mitochondrial ribosomal protein L28
70,Tb11.1810b.1-p1,110410.0,112760.0,111490.0,134100.0,142030.0,126110.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
71,Tb927.10.9390,26501.0,24509.0,27389.0,9780.6,11610.0,10729.0,"Macrocin-O-methyltransferase (TylF), putative"
72,Tb927.4.1810,97217.0,99355.0,95036.0,40056.0,40918.0,38621.0,mitochondrial ribosomal protein L33
73,Tb927.10.260,21120.0,22696.0,23045.0,26093.0,27547.0,26252.0,"BolA-like protein, putative"
74,Tb927.11.15820,74664.0,74750.0,79313.0,31970.0,34192.0,28566.0,"iron superoxide dismutase C, mitochondrial"
75,Tb927.7.3030,165230.0,163410.0,170970.0,66315.0,75483.0,64714.0,"hypothetical protein, conserved"
76,Tb927.9.9100,333970.0,334070.0,315250.0,382910.0,407110.0,380130.0,"hypothetical protein, conserved"
77,Tb927.11.5530,30215.0,29175.0,30613.0,12173.0,12037.0,13530.0,"LSU ribosomal protein, mitochondrial, putative"
78,Tb927.7.3460,206610.0,207400.0,207010.0,84020.0,92946.0,85251.0,"LSU ribosomal protein, mitochondrial, putative"
79,Tb927.9.8290,68354.0,64368.0,66951.0,28189.0,26889.0,28889.0,mitochondrial ribosomal protein l30
80,Tb927.11.5500,246940.0,252440.0,237410.0,105040.0,104790.0,102090.0,"Mitochondrial SSU ribosomal protein, putative"
81,Tb927.5.3110,88357.0,90265.0,89027.0,37001.0,39596.0,37106.0,Mitochondrial ribosomal protein L49
82,Tb927.9.11660,21414.0,22459.0,22131.0,9659.2,9828.6,8910.1,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
83,Tb927.2.1890,185440.0,181120.0,180520.0,219190.0,221950.0,207810.0,E2-like ubiquitin-conjugation enzyme
84,Tb927.5.3090,171650.0,166780.0,159360.0,67633.0,76094.0,69295.0,"Mitochondrial ATP synthase subunit, putative"
85,Tb927.7.4700,36300.0,33034.0,36069.0,40851.0,42196.0,41211.0,"WD domain, G-beta repeat, putative"
86,Tb927.2.4890,200140.0,192570.0,187680.0,85671.0,87896.0,76590.0,mitochondrial ribosomal protein l11
87,Tb927.10.14860,215130.0,223420.0,215090.0,95087.0,100760.0,89607.0,NADH-ubiquinone oxidoreductase B14 subunit
88,Tb927.11.2235,28450.0,25004.0,26702.0,32650.0,33136.0,29088.0,hypothetical protein
89,Tb927.3.5610,293280.0,289230.0,289370.0,126450.0,131660.0,120890.0,Mitochondrial ribosomal protein L3
90,Tb927.9.15010,234040.0,223850.0,220660.0,96162.0,105890.0,94680.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
91,Tb927.5.3360,35168.0,34192.0,37254.0,15054.0,16122.0,15527.0,mitochondrial ribosomal protein L2
92,Tb927.6.610,92568.0,92511.0,90961.0,41421.0,40732.0,41044.0,kinetoplast ribosomal PPR-repeat containing protein 18
93,Tb927.10.11050,130510.0,136000.0,133770.0,58045.0,59860.0,61228.0,"LSU ribosomal protein, mitochondrial, putative"
94,Tb927.9.12850,14749.0,13282.0,14449.0,5550.6,6893.1,6943.4,Mitoribosomal LSU assembly factor 5
95,Tb927.11.9930,65201.0,65356.0,67216.0,28319.0,30156.0,29665.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
96,Tb927.5.2930,714730.0,696850.0,692280.0,318660.0,319300.0,321710.0,"Mitochondrial ATP synthase subunit, putative"
97,Tb927.10.520,428680.0,420140.0,406900.0,191830.0,194010.0,185490.0,"Mitochondrial ATP synthase subunit, putative"
98,Tb927.8.6090,36591.0,32781.0,37849.0,41091.0,44945.0,40652.0,"ubiquitin-protein ligase, putative"
99,Tb927.10.6370,236960.0,239770.0,236820.0,277310.0,289620.0,263310.0,"60S ribosomal proteins L37, putative"
100,Tb927.7.3430,159930.0,161510.0,157170.0,73080.0,75032.0,71120.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb927.11.10170,95616.0,93791.0,92402.0,43116.0,43194.0,44342.0,Mitochondrial ribosomal protein L20
102,Tb927.6.3140,99760.0,98636.0,103560.0,115550.0,116280.0,116740.0,Ubiquitin-like protein 11
103,Tb927.6.4930,9891.7,9976.5,9477.8,5011.0,4005.9,5223.5,"thiosulfate sulfurtransferase, mitochondrial, putative"
104,Tb927.2.4840,25783.0,25372.0,24548.0,29146.0,29965.0,28467.0,"Vitamin K epoxide reductase family, putative"
105,Tb927.11.16540,97503.0,89427.0,94356.0,108390.0,116160.0,103840.0,"Roadblock/LC7 domain containing protein, putative"
106,Tb927.4.930,59056.0,58797.0,60405.0,29145.0,27782.0,27357.0,Mitochondrial ribosomal protein L14
107,Tb927.6.1990,786020.0,748650.0,759370.0,883310.0,936680.0,837640.0,"hypothetical protein, conserved"
108,Tb927.3.1690,147930.0,144600.0,140560.0,68242.0,70617.0,70396.0,"Mitochondrial ATP synthase subunit, putative"
109,Tb927.7.7380,54452.0,56080.0,57245.0,62113.0,68643.0,62348.0,u6 snrna-associated sm-like protein lsm3
110,Tb927.8.1880,94678.0,95177.0,92597.0,44269.0,44509.0,48083.0,"LSU ribosomal protein, mitochondrial, putative"
111,Tb927.11.15440,124790.0,120770.0,119810.0,60609.0,61157.0,55809.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
112,Tb927.9.7200,34643.0,37082.0,36648.0,41450.0,44896.0,39374.0,"hypothetical protein, conserved"
113,Tb927.11.10950,54440.0,56688.0,57761.0,26613.0,30459.0,25901.0,"DnaJ domain containing protein, putative"
114,Tb927.10.7380,44185.0,39491.0,37283.0,19956.0,19938.0,19051.0,"LSU ribosomal protein, mitochondrial, putative"
115,Tb927.10.14760,259630.0,254870.0,255050.0,296310.0,308210.0,278660.0,"clathrin light chain, putative"
116,Tb927.7.4820,19425.0,19601.0,19722.0,23149.0,22731.0,22058.0,"Trm112p-like protein, putative"
117,Tb927.7.2660,72440.0,72915.0,71631.0,84047.0,86503.0,78570.0,"zinc finger protein family member, putative"
118,Tb927.11.5830,55747.0,56101.0,55654.0,62292.0,66030.0,64239.0,"YL1 nuclear protein, putative"
119,Tb927.10.810,144550.0,146100.0,140210.0,169500.0,168550.0,157950.0,"Pentatricopeptide repeat protein (PPR), putative"
120,Tb927.8.3300,70818.0,73716.0,72580.0,37094.0,39964.0,32024.0,Mitoribosomal LSU assembly factor 12
121,Tb927.10.12250,123400.0,120690.0,121580.0,59250.0,60119.0,65495.0,"hypothetical protein, conserved"
122,Tb927.6.1920,267050.0,264100.0,263280.0,303310.0,325160.0,284030.0,"hypothetical protein, conserved"
123,Tb927.11.15500,22182.0,25393.0,23661.0,11691.0,12581.0,11516.0,"LSU ribosomal protein, mitochondrial, putative"
124,Tb927.10.6090,265370.0,257550.0,254630.0,127790.0,144680.0,123160.0,"tRNA pseudouridine synthase A, putative"
125,Tb927.11.3705,20562.0,21451.0,19265.0,36234.0,25202.0,19509.0,"DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative"
126,Tb927.11.7130,115900.0,110300.0,112550.0,128250.0,135430.0,124690.0,"hypothetical protein, conserved"
127,Tb927.10.12220,48832.0,50455.0,47475.0,23961.0,23446.0,26283.0,"hypothetical protein, conserved"
128,Tb927.8.4920,11538.0,13932.0,13635.0,6265.3,7144.6,6404.4,"hypothetical protein, conserved"
129,Tb927.11.6250,298200.0,281420.0,285880.0,146660.0,153680.0,143130.0,"Mitochondrial ATP synthase subunit, putative"
130,Tb927.7.3910,43397.0,42633.0,43193.0,21055.0,22448.0,22825.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
131,Tb927.7.2490,28198.0,26640.0,28684.0,15368.0,13728.0,13419.0,kinetoplast ribosomal PPR-repeat containing protein 15
132,Tb927.11.5990,209640.0,198140.0,198610.0,107940.0,106590.0,97394.0,Mitoribosomal LSU assembly factor 4
133,Tb927.11.6520,15562.0,16550.0,15516.0,18765.0,19792.0,16490.0,"hypothetical protein, conserved"
134,Tb927.10.2800,61518.0,63223.0,58652.0,32105.0,32393.0,29911.0,mitochondrial ribosomal protein s6
135,Tb927.9.3350,71653.0,71747.0,71513.0,36291.0,37124.0,37360.0,"pseudouridylate synthase, putative"
136,Tb927.11.3780,1498.5,1734.5,2098.2,511.55,1226.7,1229.7,subtilisin peptidase
137,Tb427.BES122.9,34402.0,32374.0,38093.0,42482.0,42032.0,38753.0,none
138,Tb927.2.2410,31103.0,32711.0,33321.0,15921.0,17533.0,17629.0,"hypothetical protein, conserved"
139,Tb927.8.5280,88578.0,88992.0,85141.0,45070.0,47763.0,45502.0,mitochondrial ribosomal protein s34
140,Tb927.11.7680,36626.0,39981.0,38562.0,20784.0,20163.0,19585.0,"hypothetical protein, conserved"
141,Tb927.8.2530,35166.0,32133.0,34519.0,18311.0,17487.0,17800.0,"Cytochrome c oxidase copper chaperone, related"
142,Tb927.7.3960,92904.0,89639.0,90949.0,48518.0,50277.0,45815.0,Mitochondrial ribosomal protein L16
143,Tb927.9.15190,687950.0,717770.0,724990.0,887570.0,913770.0,732420.0,"ribosomal protein L15, putative"
144,Tb927.2.3920,21946.0,21481.0,19386.0,10653.0,12235.0,10655.0,"Complex 1 protein (LYR family), putative"
145,Tb927.5.2810,115760.0,105540.0,108850.0,55861.0,61602.0,58843.0,"hypothetical protein, conserved"
146,Tb927.6.4560,157910.0,150510.0,153260.0,82161.0,89652.0,75373.0,"Mitochondrial SSU ribosomal protein, putative"
147,Tb11.v5.0905,263940.0,267870.0,266080.0,144250.0,149940.0,135420.0,"hypothetical protein, conserved"
148,Tb927.11.11480,847700.0,814030.0,811200.0,935950.0,992000.0,883300.0,"Trichohyalin, putative"
149,Tb927.9.8000,439370.0,430960.0,426600.0,499700.0,509690.0,460500.0,"ubiquitin-protein ligase, putative"
150,Tb927.11.13007,1373900.0,1338100.0,1402100.0,1554500.0,1626900.0,1490600.0,ubiquitin-60S ribosomal protein L40
151,Tb927.9.7080,129760.0,127820.0,131640.0,147600.0,156640.0,138570.0,"hypothetical protein, conserved"
152,Tb927.9.11120,107800.0,113810.0,110110.0,60403.0,63803.0,57549.0,"Chromosome passenger complex (CPC) protein INCENP N terminal, putative"
153,Tb927.11.7430,109860.0,104030.0,113930.0,125780.0,130590.0,118740.0,"hypothetical protein, conserved"
154,Tb927.3.860,123520.0,129270.0,126530.0,145050.0,145630.0,141650.0,"Acyl carrier protein, mitochondrial"
155,Tb927.6.4510,141320.0,144000.0,136020.0,72330.0,83694.0,76122.0,"hypothetical protein, conserved"
156,Tb927.1.1200,149550.0,154350.0,154680.0,83129.0,90993.0,79670.0,Mitochondrial ribosomal protein S15
157,Tb927.8.5560,229880.0,233940.0,350670.0,147250.0,156880.0,140650.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
158,Tb927.10.2670,35594.0,36118.0,35344.0,38605.0,43064.0,39497.0,"hypothetical protein, conserved"
159,Tb927.6.2910,37720.0,40131.0,38453.0,45901.0,44769.0,42850.0,"RNA pseudouridylate synthase, putative"
160,Tb927.3.2390,93020.0,87663.0,89875.0,49017.0,53522.0,49355.0,"hypothetical protein, conserved"
161,Tb927.3.5240,131900.0,131480.0,128560.0,70570.0,75165.0,74686.0,kinetoplast ribosomal PPR-repeat containing protein 8
162,Tb927.10.11520,37280.0,38078.0,38678.0,45494.0,45853.0,39695.0,mitochondrial import inner membrane translocase subunit tim13
163,Tb927.10.13110,80009.0,77426.0,72859.0,85228.0,94566.0,81761.0,Outer arm dynein light chain 7
164,Tb927.7.7480,1989.8,1416.2,1694.2,2176.3,1614.0,2024.3,"trans-sialidase, putative"
165,Tb927.9.5300,127290.0,125120.0,125290.0,71319.0,76475.0,65110.0,kinetoplast ribosomal PPR-repeat containing protein 16
166,Tb927.9.9780,855470.0,853100.0,826060.0,965590.0,969260.0,928960.0,"peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative"
167,Tb927.5.370,211400.0,204390.0,201730.0,116780.0,118750.0,113270.0,"75 kDa invariant surface glycoprotein, putative"
168,Tb927.8.1340,1364900.0,1349000.0,1322500.0,1526400.0,1568100.0,1453000.0,"60S ribosomal protein L7a, putative"
169,Tb927.5.2940,2875500.0,2802800.0,2772800.0,3159100.0,3293700.0,3064700.0,"stress-induced protein sti1, putative"
170,Tb927.11.1270,300380.0,296080.0,287700.0,163350.0,171060.0,164130.0,"Mitochondrial ATP synthase subunit, putative"
171,Tb927.9.1530,60551.0,61938.0,62977.0,36433.0,35743.0,33439.0,"hypothetical protein, conserved"
172,Tb927.3.4950,164610.0,164120.0,150370.0,92262.0,93642.0,86076.0,"hypothetical protein, conserved"
173,Tb927.11.13940,24344.0,22482.0,22742.0,25838.0,30345.0,24220.0,"ubiquitin-conjugating enzyme E2, putative"
174,Tb927.10.2050,89776.0,91136.0,87894.0,53318.0,51551.0,49371.0,"hypothetical protein, conserved"
175,Tb927.10.9250,513250.0,511080.0,496350.0,566880.0,592250.0,550400.0,"adenylyl cyclase-associated protein, putative"
176,Tb927.5.3300,15525.0,15263.0,17055.0,10159.0,9878.0,7449.4,"hypothetical protein, conserved"
177,Tb927.4.4710,63323.0,63612.0,65230.0,71856.0,75209.0,69050.0,"hypothetical protein, conserved"
178,Tb927.10.13990,50193.0,48022.0,49264.0,27177.0,30914.0,27500.0,"Pentatricopeptide repeat protein (PPR), putative"
179,Tb927.11.715,458870.0,450530.0,456090.0,504670.0,548420.0,487310.0,"dynein light chain LC8, putative"
180,Tb927.1.1390,49596.0,45821.0,45605.0,27654.0,28699.0,25167.0,"hypothetical protein, conserved"
181,Tb927.10.15410,129150.0,132000.0,133610.0,148090.0,156750.0,139600.0,glycosomal malate dehydrogenase
182,Tb927.11.11470,91495.0,94667.0,90596.0,55148.0,52400.0,53721.0,kinetoplast ribosomal PPR-repeat containing protein 14
183,Tb927.11.4650,52710.0,50602.0,50830.0,29923.0,30231.0,30218.0,kinetoplast ribosomal PPR-repeat containing protein 13
184,Tb927.8.595,51945.0,55638.0,55414.0,63088.0,65005.0,57249.0,hypothetical protein
185,Tb927.7.4060,702030.0,686530.0,660840.0,768200.0,794380.0,736670.0,"cysteine peptidase, Clan CA, family C2, putative"
186,Tb927.3.4360,429570.0,414270.0,414220.0,463760.0,495560.0,451160.0,"40S ribosomal protein S15A, putative"
187,Tb927.1.2990,245910.0,250020.0,239560.0,143740.0,148250.0,144230.0,kinetoplast ribosomal PPR-repeat containing protein 2
188,Tb927.5.1790,45842.0,48122.0,48344.0,29222.0,28891.0,26551.0,"Mitochondrial SSU ribosomal protein, putative"
189,Tb927.9.9310,98272.0,101550.0,97398.0,58360.0,61015.0,57958.0,Mitoribosomal SSU assembly factor 3
190,Tb927.8.3110,73556.0,75527.0,76956.0,45360.0,45907.0,43039.0,Mitochondrial ribosomal protein S9
191,Tb927.9.9150,43634.0,41888.0,41349.0,23507.0,25213.0,26106.0,Mitoribosomal LSU assembly factor 13
192,Tb927.11.13570,217770.0,234100.0,209340.0,266760.0,251570.0,255270.0,"hypothetical protein, conserved"
193,Tb927.11.12930,69993.0,69795.0,71495.0,41582.0,46346.0,39094.0,Mitoribosomal LSU assembly factor 2
194,Tb927.5.3310,99192.0,92568.0,101670.0,110000.0,122780.0,103500.0,"hypothetical protein, conserved"
195,Tb927.5.1200,46145.0,43761.0,41195.0,25782.0,26968.0,25528.0,exosome complex component CSL4
196,Tb927.9.9260,62498.0,60933.0,61406.0,68831.0,71168.0,66578.0,"hypothetical protein, conserved"
197,Tb927.11.590,68012.0,68998.0,64959.0,39999.0,40130.0,40518.0,"hypothetical protein, conserved"
198,Tb927.10.12010,146500.0,151390.0,136450.0,162950.0,167730.0,162390.0,"hypothetical protein, conserved"
199,Tb927.6.2480,34428.0,29166.0,30330.0,16091.0,21193.0,18426.0,"chaperone protein DnaJ, putative"
200,Tb927.8.980,1025500.0,1038600.0,1007800.0,1152400.0,1195900.0,1085100.0,phosphoacetylglucosamine mutase
201,Tb927.10.7080,72091.0,77923.0,79488.0,46018.0,47890.0,44794.0,"ATP-dependent DEAD/H RNA helicase, putative"
202,Tb927.6.1630,53938.0,62776.0,55968.0,35477.0,36171.0,33321.0,"hypothetical protein, conserved"
203,Tb927.11.640,1358.2,1703.6,2021.2,984.3,760.25,1260.2,"Pentatricopeptide repeat protein (PPR), putative"
204,Tb927.10.6300,180100.0,176180.0,184340.0,106670.0,115070.0,109890.0,Mitochondrial ribosomal protein S5
205,Tb927.6.2700,109090.0,107040.0,110650.0,119540.0,125530.0,118950.0,small nuclear ribonucleoprotein Sm-E
206,Tb927.10.7910,123840.0,127300.0,120920.0,77905.0,82298.0,71001.0,"RNA editing complex protein, putative"
207,Tb927.10.9830,557450.0,537770.0,526000.0,327930.0,339110.0,327670.0,"Mitochondrial ATP synthase subunit, putative"
208,Tb927.5.4370,15348.0,14095.0,13981.0,8728.9,8129.8,9428.4,"hypothetical protein, conserved"
209,Tb927.11.7214,43117.0,44696.0,42480.0,26203.0,26973.0,26434.0,Mitoribosomal SSU assembly factor 13
210,Tb927.11.2220,114870.0,106510.0,110920.0,65825.0,72079.0,66589.0,Mitoribosomal SSU assembly factor 17
211,Tb927.4.970,38059.0,36767.0,37299.0,22629.0,22913.0,23297.0,"hypothetical protein, conserved"
212,Tb927.10.13540,116440.0,115520.0,117890.0,130960.0,136780.0,122390.0,"RNA-binding protein, putative"
213,Tb927.10.380,75145.0,77454.0,73855.0,45877.0,49985.0,45079.0,kinetoplast ribosomal PPR-repeat containing protein 5
214,Tb927.11.15030,247760.0,235030.0,231770.0,267320.0,279700.0,248840.0,small GTPase
215,Tb927.10.5030,354520.0,335220.0,339600.0,379040.0,397670.0,369730.0,"ubiquitin/ribosomal protein S27a, putative"
216,Tb927.5.3340,9776.5,9648.5,9520.6,10652.0,11097.0,10438.0,Mitochondrial import inner membrane translocase subunit 11
217,Tb927.10.6850,27259.0,27938.0,28300.0,16885.0,18095.0,17508.0,"Mitochondrial ribosomal protein S18, putative"
218,Tb927.6.2080,10925.0,11048.0,11480.0,5660.3,6653.3,8140.4,"Mitochondrial SSU ribosomal protein, putative"
219,Tb927.5.3640,98145.0,96809.0,94446.0,58944.0,66044.0,56882.0,"Mitochondrial SSU ribosomal protein, putative"
220,Tb927.4.680,23060.0,24746.0,23939.0,13889.0,16473.0,14586.0,"hypothetical protein, conserved"
221,Tb927.9.6510,165270.0,168710.0,167680.0,100680.0,107330.0,106190.0,"Mitochondrial SSU ribosomal protein, putative"
222,Tb927.9.7160,104980.0,99386.0,93471.0,109610.0,119140.0,105180.0,"hypothetical protein, conserved"
223,Tb927.6.590,45712.0,44769.0,45607.0,28084.0,29417.0,28226.0,"hypothetical protein, conserved"
224,Tb927.8.6760,1142700.0,1173800.0,1091900.0,1316900.0,1281600.0,1237900.0,"translationally-controlled tumor protein homolog, putative"
225,Tb927.11.7920,67560.0,67975.0,66878.0,43023.0,43622.0,41708.0,SUMO-interacting motif-containing protein
226,Tb927.10.5090,36094.0,37107.0,36957.0,40697.0,40777.0,41905.0,Enriched in surface-labeled proteome protein 18
